class,Tweet
neg,'why do i have to go back to school tomorrow?? '
neg,'@Eskimimi they didnt have any alcoholic ginger beer in the Borough yesterday  Did you drink it all?'
neg,'would like to settle down and watch the football with a beer. Fat bloody chance of that. Too much to do. '
neg,'@Popher lucky, its deff a sub-zero temp for me in my room '
neg,'I dropped my USB drive in my coffee cup. Suddenly remembering why I should make backups of everything. Oh, I hope its safe. '
neg,'my thoughts go out to the family '
neg,'I want to play Rockband. '
neg,'feel bad, shouldnt of had pizza last night '
neg,'@perezhilton You have been slacking so bad on your website since you started tweeting, Perez! '
neg,'Fed up of waiting for my Mum to arrive. Typically, shes over 2 hours late '
neg,'holiday...i love them! ... but they�re over now... ...  school tomorrow... '
neg,'@EmpressCortana Yeah, Im really digging #Kings , but the future doesnt look good for it.  '
neg,'Why is it I never get enough sleep going into a Sunday morning? '
neg,'@SisterSadist thats the thing, Im not a redhead any more  i loved it but the re-colouring every few weeks was getting too much '
neg,'Thinking I need to learn art of deligation, either that or get a sugar fix as energy levels have reached all time low '
neg,'Its raining...why is there always something with the weather in Chicago? it can never be consistently NICE!! '
neg,'@miguelstdance Booo im going to see them on the 8th, have to watch the repeat  x'
neg,'Wish time would go faster and it was the summer hols... '
neg,'Someone stole my peace! '
neg,'Really sad that the siblings are leaving and I only got to see them for a couple of hours  but I am glad that I did get to see them!'
neg,'Oh I see Ive been forgetfully stealing my housemates food. Stupid depression + bad memory '
neg,'@tommcfly youve made me want a starbucks frappuccino  thats just cruel '
neg,'@JerseyJoeyGirl lol i really wanna go to the today show but i dont think i can swing it '
neg,'@LeahRuth aww bb thats not fun  if it helps i totally had one this weekend, woo yay ;)'
neg,'so mad at myself for not giving that kid my number the other night!  he was so cute....'
neg,'Hubby has to work this morning '
neg,'cnt believe ive gt college tomorrow!!  =/'
neg,'cant stop eating '
neg,'wonders why am i still sleepy even after a 3 hours nap...?   http://plurk.com/p/p0eat'
neg,'@cratledge and the KK doughnuts in the grocery store are gross, because the glazing has started to melt. It makes me so sad '
